QP= 6 | PSNR=52.88 | SSIM=0.9994 | size=18.70 KB | ratio=0.2707 | reduction=72.93% | time=1.1137s
QP=12 | PSNR=49.38 | SSIM=0.9982 | size=8.63 KB | ratio=0.1250 | reduction=87.50% | time=0.8949s
QP=18 | PSNR=46.88 | SSIM=0.9953 | size=4.45 KB | ratio=0.0644 | reduction=93.56% | time=0.7636s
QP=24 | PSNR=45.09 | SSIM=0.9917 | size=2.15 KB | ratio=0.0312 | reduction=96.88% | time=0.6709s
QP=30 | PSNR=42.32 | SSIM=0.9817 | size=1.33 KB | ratio=0.0192 | reduction=98.08% | time=0.6459s
QP=36 | PSNR=38.00 | SSIM=0.9465 | size=467 B | ratio=0.0066 | reduction=99.34% | time=0.5879s
QP=42 | PSNR=35.76 | SSIM=0.9196 | size=231 B | ratio=0.0033 | reduction=99.67% | time=0.5527s
QP=48 | PSNR=33.45 | SSIM=0.8917 | size=149 B | ratio=0.0021 | reduction=99.79% | time=0.5453s
QP= 6 | PSNR=53.11 | SSIM=0.9995 | size=19.01 KB | ratio=0.2728 | reduction=72.72% | time=1.1183s
QP=12 | PSNR=49.44 | SSIM=0.9984 | size=8.59 KB | ratio=0.1233 | reduction=87.67% | time=0.8412s
QP=18 | PSNR=46.96 | SSIM=0.9959 | size=4.24 KB | ratio=0.0608 | reduction=93.92% | time=0.7451s
QP=24 | PSNR=45.33 | SSIM=0.9932 | size=2.12 KB | ratio=0.0304 | reduction=96.96% | time=0.6493s
QP=30 | PSNR=42.69 | SSIM=0.9855 | size=1.39 KB | ratio=0.0199 | reduction=98.01% | time=0.6107s
QP=36 | PSNR=38.30 | SSIM=0.9585 | size=604 B | ratio=0.0085 | reduction=99.15% | time=0.5670s
QP=42 | PSNR=35.30 | SSIM=0.9221 | size=301 B | ratio=0.0042 | reduction=99.58% | time=0.5595s
QP=48 | PSNR=32.30 | SSIM=0.8648 | size=162 B | ratio=0.0023 | reduction=99.77% | time=0.5404s
QP= 6 | PSNR=53.76 | SSIM=0.9994 | size=14.54 KB | ratio=0.2450 | reduction=75.50% | time=1.1352s
QP=12 | PSNR=50.37 | SSIM=0.9984 | size=6.71 KB | ratio=0.1130 | reduction=88.70% | time=0.8231s
QP=18 | PSNR=47.70 | SSIM=0.9958 | size=3.33 KB | ratio=0.0561 | reduction=94.39% | time=0.7402s
QP=24 | PSNR=46.09 | SSIM=0.9931 | size=1.57 KB | ratio=0.0264 | reduction=97.36% | time=0.6261s
QP=30 | PSNR=43.09 | SSIM=0.9838 | size=898 B | ratio=0.0148 | reduction=98.52% | time=0.6000s
QP=36 | PSNR=39.81 | SSIM=0.9664 | size=364 B | ratio=0.0060 | reduction=99.40% | time=0.5861s
QP=42 | PSNR=37.67 | SSIM=0.9514 | size=227 B | ratio=0.0037 | reduction=99.63% | time=0.5503s
QP=48 | PSNR=34.18 | SSIM=0.9156 | size=144 B | ratio=0.0024 | reduction=99.76% | time=0.5233s
QP= 6 | PSNR=53.86 | SSIM=0.9995 | size=14.92 KB | ratio=0.2519 | reduction=74.81% | time=1.0260s
QP=12 | PSNR=50.44 | SSIM=0.9985 | size=7.16 KB | ratio=0.1209 | reduction=87.91% | time=0.8150s
QP=18 | PSNR=47.66 | SSIM=0.9959 | size=3.42 KB | ratio=0.0577 | reduction=94.23% | time=0.7123s
QP=24 | PSNR=45.88 | SSIM=0.9929 | size=1.67 KB | ratio=0.0283 | reduction=97.17% | time=0.6251s
QP=30 | PSNR=43.10 | SSIM=0.9842 | size=997 B | ratio=0.0164 | reduction=98.36% | time=0.6294s
QP=36 | PSNR=39.59 | SSIM=0.9677 | size=446 B | ratio=0.0074 | reduction=99.26% | time=0.5600s
QP=42 | PSNR=37.00 | SSIM=0.9525 | size=259 B | ratio=0.0043 | reduction=99.57% | time=0.5561s
QP=48 | PSNR=33.83 | SSIM=0.9153 | size=160 B | ratio=0.0026 | reduction=99.74% | time=0.5443s
QP= 6 | PSNR=53.57 | SSIM=0.9994 | size=14.97 KB | ratio=0.2480 | reduction=75.20% | time=1.1425s
QP=12 | PSNR=50.29 | SSIM=0.9984 | size=7.20 KB | ratio=0.1193 | reduction=88.07% | time=0.8290s
QP=18 | PSNR=47.51 | SSIM=0.9954 | size=3.58 KB | ratio=0.0593 | reduction=94.07% | time=0.7248s
QP=24 | PSNR=45.85 | SSIM=0.9924 | size=1.56 KB | ratio=0.0259 | reduction=97.41% | time=0.6359s
QP=30 | PSNR=42.97 | SSIM=0.9835 | size=915 B | ratio=0.0148 | reduction=98.52% | time=0.5982s
QP=36 | PSNR=39.61 | SSIM=0.9622 | size=365 B | ratio=0.0059 | reduction=99.41% | time=0.6073s
QP=42 | PSNR=37.49 | SSIM=0.9467 | size=222 B | ratio=0.0036 | reduction=99.64% | time=0.5493s
QP=48 | PSNR=34.24 | SSIM=0.9106 | size=143 B | ratio=0.0023 | reduction=99.77% | time=0.5510s
QP= 6 | PSNR=53.97 | SSIM=0.9995 | size=14.88 KB | ratio=0.2531 | reduction=74.69% | time=1.0425s
QP=12 | PSNR=50.49 | SSIM=0.9985 | size=6.98 KB | ratio=0.1187 | reduction=88.13% | time=0.8291s
QP=18 | PSNR=47.65 | SSIM=0.9959 | size=3.62 KB | ratio=0.0615 | reduction=93.85% | time=0.7174s
QP=24 | PSNR=45.96 | SSIM=0.9928 | size=1.57 KB | ratio=0.0268 | reduction=97.32% | time=0.6402s
QP=30 | PSNR=43.21 | SSIM=0.9844 | size=957 B | ratio=0.0159 | reduction=98.41% | time=0.6005s
QP=36 | PSNR=39.60 | SSIM=0.9659 | size=410 B | ratio=0.0068 | reduction=99.32% | time=0.5762s
QP=42 | PSNR=36.96 | SSIM=0.9474 | size=233 B | ratio=0.0039 | reduction=99.61% | time=0.5414s
QP=48 | PSNR=33.64 | SSIM=0.9118 | size=151 B | ratio=0.0025 | reduction=99.75% | time=0.5594s
QP= 6 | PSNR=54.04 | SSIM=0.9995 | size=14.29 KB | ratio=0.2467 | reduction=75.33% | time=1.0546s
QP=12 | PSNR=50.61 | SSIM=0.9985 | size=6.89 KB | ratio=0.1190 | reduction=88.10% | time=0.8234s
QP=18 | PSNR=47.76 | SSIM=0.9957 | size=3.54 KB | ratio=0.0611 | reduction=93.89% | time=0.7477s
QP=24 | PSNR=46.07 | SSIM=0.9927 | size=1.55 KB | ratio=0.0267 | reduction=97.33% | time=0.6428s
QP=30 | PSNR=43.20 | SSIM=0.9840 | size=908 B | ratio=0.0153 | reduction=98.47% | time=0.6121s
QP=36 | PSNR=39.74 | SSIM=0.9656 | size=358 B | ratio=0.0060 | reduction=99.40% | time=0.5838s
QP=42 | PSNR=37.33 | SSIM=0.9477 | size=223 B | ratio=0.0038 | reduction=99.62% | time=0.5468s
QP=48 | PSNR=34.04 | SSIM=0.9158 | size=152 B | ratio=0.0026 | reduction=99.74% | time=0.5160s
QP= 6 | PSNR=53.98 | SSIM=0.9995 | size=15.16 KB | ratio=0.2586 | reduction=74.14% | time=1.0597s
QP=12 | PSNR=50.45 | SSIM=0.9985 | size=6.98 KB | ratio=0.1191 | reduction=88.09% | time=0.8131s
QP=18 | PSNR=47.51 | SSIM=0.9956 | size=3.46 KB | ratio=0.0590 | reduction=94.10% | time=0.7288s
QP=24 | PSNR=46.01 | SSIM=0.9931 | size=1.69 KB | ratio=0.0288 | reduction=97.12% | time=0.6504s
QP=30 | PSNR=42.88 | SSIM=0.9833 | size=947 B | ratio=0.0158 | reduction=98.42% | time=0.6077s
QP=36 | PSNR=39.48 | SSIM=0.9660 | size=398 B | ratio=0.0066 | reduction=99.34% | time=0.5775s
QP=42 | PSNR=37.03 | SSIM=0.9491 | size=233 B | ratio=0.0039 | reduction=99.61% | time=0.5346s
QP=48 | PSNR=33.98 | SSIM=0.9159 | size=164 B | ratio=0.0027 | reduction=99.73% | time=0.5174s
QP= 6 | PSNR=53.18 | SSIM=0.9994 | size=17.61 KB | ratio=0.2659 | reduction=73.41% | time=1.1040s
QP=12 | PSNR=49.56 | SSIM=0.9982 | size=7.71 KB | ratio=0.1165 | reduction=88.35% | time=0.8520s
QP=18 | PSNR=47.07 | SSIM=0.9955 | size=4.09 KB | ratio=0.0618 | reduction=93.82% | time=0.7763s
QP=24 | PSNR=45.42 | SSIM=0.9926 | size=1.90 KB | ratio=0.0287 | reduction=97.13% | time=0.6356s
QP=30 | PSNR=42.58 | SSIM=0.9842 | size=1.14 KB | ratio=0.0172 | reduction=98.28% | time=0.6208s
QP=36 | PSNR=38.89 | SSIM=0.9599 | size=485 B | ratio=0.0072 | reduction=99.28% | time=0.5966s
QP=42 | PSNR=36.32 | SSIM=0.9355 | size=262 B | ratio=0.0039 | reduction=99.61% | time=0.5498s
QP=48 | PSNR=33.38 | SSIM=0.8965 | size=169 B | ratio=0.0025 | reduction=99.75% | time=0.5525s
QP= 6 | PSNR=54.06 | SSIM=0.9995 | size=14.23 KB | ratio=0.2488 | reduction=75.12% | time=1.0604s
QP=12 | PSNR=50.62 | SSIM=0.9985 | size=6.75 KB | ratio=0.1181 | reduction=88.19% | time=0.8271s
QP=18 | PSNR=47.79 | SSIM=0.9959 | size=3.47 KB | ratio=0.0608 | reduction=93.92% | time=0.7276s
QP=24 | PSNR=46.11 | SSIM=0.9929 | size=1.51 KB | ratio=0.0264 | reduction=97.36% | time=0.6298s
QP=30 | PSNR=43.00 | SSIM=0.9828 | size=838 B | ratio=0.0143 | reduction=98.57% | time=0.6076s
QP=36 | PSNR=39.92 | SSIM=0.9679 | size=369 B | ratio=0.0063 | reduction=99.37% | time=0.5744s
QP=42 | PSNR=37.75 | SSIM=0.9537 | size=235 B | ratio=0.0040 | reduction=99.60% | time=0.5437s
QP=48 | PSNR=34.25 | SSIM=0.9232 | size=151 B | ratio=0.0026 | reduction=99.74% | time=0.5404s
QP= 6 | PSNR=53.95 | SSIM=0.9995 | size=14.62 KB | ratio=0.2471 | reduction=75.29% | time=1.0743s
QP=12 | PSNR=50.35 | SSIM=0.9984 | size=6.77 KB | ratio=0.1144 | reduction=88.56% | time=0.8260s
QP=18 | PSNR=47.60 | SSIM=0.9957 | size=3.16 KB | ratio=0.0535 | reduction=94.65% | time=0.7208s
QP=24 | PSNR=46.06 | SSIM=0.9931 | size=1.52 KB | ratio=0.0257 | reduction=97.43% | time=0.6333s
QP=30 | PSNR=43.15 | SSIM=0.9847 | size=884 B | ratio=0.0146 | reduction=98.54% | time=0.6284s
QP=36 | PSNR=40.02 | SSIM=0.9694 | size=372 B | ratio=0.0061 | reduction=99.39% | time=0.5860s
