QP= 6 | PSNR=53.37 | SSIM=0.9995 | size=15.80 KB | ratio=1.1267 | reduction=-12.67% | time=4.8915s
QP=12 | PSNR=48.61 | SSIM=0.9986 | size=9.12 KB | ratio=0.6506 | reduction=34.94% | time=4.0682s
QP=18 | PSNR=44.02 | SSIM=0.9956 | size=4.83 KB | ratio=0.3447 | reduction=65.53% | time=1.7778s
QP=24 | PSNR=40.20 | SSIM=0.9878 | size=2.30 KB | ratio=0.1638 | reduction=83.62% | time=1.4379s
QP=30 | PSNR=36.73 | SSIM=0.9705 | size=1013 B | ratio=0.0706 | reduction=92.94% | time=3.4537s
QP=36 | PSNR=33.54 | SSIM=0.9313 | size=355 B | ratio=0.0247 | reduction=97.53% | time=3.2641s
QP=42 | PSNR=31.21 | SSIM=0.8840 | size=123 B | ratio=0.0086 | reduction=99.14% | time=3.5035s
QP=48 | PSNR=29.54 | SSIM=0.8432 | size=59 B | ratio=0.0041 | reduction=99.59% | time=2.3896s
QP= 6 | PSNR=74.57 | SSIM=1.0000 | size=753 B | ratio=0.7354 | reduction=26.46% | time=3.5686s
QP=12 | PSNR=69.88 | SSIM=1.0000 | size=652 B | ratio=0.6367 | reduction=36.33% | time=1.4801s
QP=18 | PSNR=64.77 | SSIM=1.0000 | size=525 B | ratio=0.5127 | reduction=48.73% | time=1.4499s
QP=24 | PSNR=58.86 | SSIM=0.9999 | size=472 B | ratio=0.4609 | reduction=53.91% | time=2.3990s
QP=30 | PSNR=49.01 | SSIM=0.9994 | size=394 B | ratio=0.3848 | reduction=61.52% | time=3.1042s
QP=36 | PSNR=42.20 | SSIM=0.9965 | size=215 B | ratio=0.2100 | reduction=79.00% | time=1.4285s
QP=42 | PSNR=37.93 | SSIM=0.9868 | size=80 B | ratio=0.0781 | reduction=92.19% | time=1.4876s
QP=48 | PSNR=36.29 | SSIM=0.9784 | size=48 B | ratio=0.0469 | reduction=95.31% | time=4.9967s
QP= 6 | PSNR=54.10 | SSIM=0.9996 | size=28.42 KB | ratio=1.1608 | reduction=-16.08% | time=9.7532s
QP=12 | PSNR=49.35 | SSIM=0.9989 | size=16.37 KB | ratio=0.6686 | reduction=33.14% | time=4.8793s
QP=18 | PSNR=44.77 | SSIM=0.9966 | size=8.80 KB | ratio=0.3594 | reduction=64.06% | time=4.2411s
QP=24 | PSNR=40.99 | SSIM=0.9909 | size=4.45 KB | ratio=0.1817 | reduction=81.83% | time=2.6072s
QP=30 | PSNR=37.20 | SSIM=0.9758 | size=1.94 KB | ratio=0.0792 | reduction=92.08% | time=6.9179s
QP=36 | PSNR=33.89 | SSIM=0.9470 | size=782 B | ratio=0.0312 | reduction=96.88% | time=6.7770s
QP=42 | PSNR=31.06 | SSIM=0.8933 | size=263 B | ratio=0.0105 | reduction=98.95% | time=8.2224s
QP=48 | PSNR=29.09 | SSIM=0.8369 | size=95 B | ratio=0.0038 | reduction=99.62% | time=8.2607s
QP= 6 | PSNR=57.09 | SSIM=0.9999 | size=14.29 KB | ratio=0.9355 | reduction=6.45% | time=6.3105s
QP=12 | PSNR=52.44 | SSIM=0.9996 | size=9.53 KB | ratio=0.6239 | reduction=37.61% | time=6.3859s
QP=18 | PSNR=47.37 | SSIM=0.9987 | size=6.24 KB | ratio=0.4085 | reduction=59.15% | time=3.2281s
QP=24 | PSNR=42.51 | SSIM=0.9955 | size=3.66 KB | ratio=0.2394 | reduction=76.06% | time=1.5673s
QP=30 | PSNR=37.67 | SSIM=0.9864 | size=1.98 KB | ratio=0.1297 | reduction=87.03% | time=4.1848s
QP=36 | PSNR=33.23 | SSIM=0.9650 | size=906 B | ratio=0.0579 | reduction=94.21% | time=4.4899s
QP=42 | PSNR=29.56 | SSIM=0.9163 | size=312 B | ratio=0.0200 | reduction=98.00% | time=4.0072s
QP=48 | PSNR=27.18 | SSIM=0.8374 | size=116 B | ratio=0.0074 | reduction=99.26% | time=7.4374s
QP= 6 | PSNR=54.48 | SSIM=0.9996 | size=14.44 KB | ratio=1.2205 | reduction=-22.05% | time=6.8426s
QP=12 | PSNR=49.65 | SSIM=0.9989 | size=8.54 KB | ratio=0.7224 | reduction=27.76% | time=2.1100s
QP=18 | PSNR=44.77 | SSIM=0.9962 | size=4.54 KB | ratio=0.3841 | reduction=61.59% | time=2.3988s
QP=24 | PSNR=40.77 | SSIM=0.9892 | size=2.25 KB | ratio=0.1900 | reduction=81.00% | time=4.9768s
QP=30 | PSNR=37.19 | SSIM=0.9733 | size=1.03 KB | ratio=0.0868 | reduction=91.32% | time=4.8706s
QP=36 | PSNR=33.93 | SSIM=0.9420 | size=388 B | ratio=0.0320 | reduction=96.80% | time=4.7969s
QP=42 | PSNR=31.28 | SSIM=0.8998 | size=129 B | ratio=0.0107 | reduction=98.93% | time=2.6265s
QP=48 | PSNR=29.29 | SSIM=0.8609 | size=62 B | ratio=0.0051 | reduction=99.49% | time=1.9111s
QP= 6 | PSNR=56.84 | SSIM=0.9998 | size=22.11 KB | ratio=1.0949 | reduction=-9.49% | time=11.2296s
QP=12 | PSNR=51.58 | SSIM=0.9993 | size=13.42 KB | ratio=0.6645 | reduction=33.55% | time=10.6206s
QP=18 | PSNR=46.37 | SSIM=0.9975 | size=7.43 KB | ratio=0.3680 | reduction=63.20% | time=1.6724s
QP=24 | PSNR=42.16 | SSIM=0.9927 | size=3.83 KB | ratio=0.1898 | reduction=81.02% | time=8.4015s
QP=30 | PSNR=38.07 | SSIM=0.9800 | size=1.72 KB | ratio=0.0853 | reduction=91.47% | time=7.0909s
QP=36 | PSNR=34.73 | SSIM=0.9529 | size=747 B | ratio=0.0361 | reduction=96.39% | time=5.0218s
QP=42 | PSNR=32.10 | SSIM=0.9163 | size=280 B | ratio=0.0135 | reduction=98.65% | time=7.8462s
QP=48 | PSNR=29.92 | SSIM=0.8724 | size=74 B | ratio=0.0036 | reduction=99.64% | time=8.9487s
QP= 6 | PSNR=54.52 | SSIM=0.9997 | size=27.22 KB | ratio=1.3015 | reduction=-30.15% | time=13.8264s
QP=12 | PSNR=49.46 | SSIM=0.9991 | size=16.51 KB | ratio=0.7895 | reduction=21.05% | time=13.4261s
QP=18 | PSNR=44.60 | SSIM=0.9969 | size=8.90 KB | ratio=0.4255 | reduction=57.45% | time=9.9551s
QP=24 | PSNR=40.70 | SSIM=0.9916 | size=4.66 KB | ratio=0.2230 | reduction=77.70% | time=7.5096s
QP=30 | PSNR=36.77 | SSIM=0.9785 | size=2.17 KB | ratio=0.1037 | reduction=89.63% | time=0.9269s
QP=36 | PSNR=33.30 | SSIM=0.9508 | size=937 B | ratio=0.0438 | reduction=95.62% | time=3.5612s
QP=42 | PSNR=30.09 | SSIM=0.9016 | size=304 B | ratio=0.0142 | reduction=98.58% | time=3.3612s
QP=48 | PSNR=27.99 | SSIM=0.8413 | size=109 B | ratio=0.0051 | reduction=99.49% | time=3.8984s
QP= 6 | PSNR=56.43 | SSIM=0.9998 | size=13.18 KB | ratio=1.2345 | reduction=-23.45% | time=4.8397s
QP=12 | PSNR=51.23 | SSIM=0.9993 | size=8.05 KB | ratio=0.7537 | reduction=24.63% | time=7.9007s
QP=18 | PSNR=46.00 | SSIM=0.9975 | size=4.59 KB | ratio=0.4300 | reduction=57.00% | time=8.9696s
QP=24 | PSNR=41.84 | SSIM=0.9931 | size=2.55 KB | ratio=0.2386 | reduction=76.14% | time=2.8932s
QP=30 | PSNR=37.61 | SSIM=0.9797 | size=1.28 KB | ratio=0.1199 | reduction=88.01% | time=4.7040s
QP=36 | PSNR=34.00 | SSIM=0.9516 | size=560 B | ratio=0.0512 | reduction=94.88% | time=4.3484s
QP=42 | PSNR=30.52 | SSIM=0.8926 | size=210 B | ratio=0.0192 | reduction=98.08% | time=2.6001s
QP=48 | PSNR=28.10 | SSIM=0.8309 | size=68 B | ratio=0.0062 | reduction=99.38% | time=2.8236s
QP= 6 | PSNR=55.20 | SSIM=0.9997 | size=18.71 KB | ratio=1.0454 | reduction=-4.54% | time=2.8410s
QP=12 | PSNR=50.34 | SSIM=0.9989 | size=10.75 KB | ratio=0.6009 | reduction=39.91% | time=10.5397s
QP=18 | PSNR=45.61 | SSIM=0.9966 | size=5.82 KB | ratio=0.3251 | reduction=67.49% | time=7.6430s
QP=24 | PSNR=41.73 | SSIM=0.9912 | size=2.88 KB | ratio=0.1609 | reduction=83.91% | time=3.4883s
QP=30 | PSNR=37.87 | SSIM=0.9783 | size=1.21 KB | ratio=0.0678 | reduction=93.22% | time=6.3772s
QP=36 | PSNR=34.47 | SSIM=0.9524 | size=461 B | ratio=0.0252 | reduction=97.48% | time=4.8919s
QP=42 | PSNR=31.81 | SSIM=0.9114 | size=162 B | ratio=0.0088 | reduction=99.12% | time=3.0613s
QP=48 | PSNR=30.02 | SSIM=0.8571 | size=66 B | ratio=0.0036 | reduction=99.64% | time=1.3378s
QP= 6 | PSNR=55.93 | SSIM=0.9998 | size=23.19 KB | ratio=1.1393 | reduction=-13.93% | time=11.5027s
QP=12 | PSNR=51.09 | SSIM=0.9992 | size=13.54 KB | ratio=0.6655 | reduction=33.45% | time=17.0531s
QP=18 | PSNR=46.26 | SSIM=0.9974 | size=7.52 KB | ratio=0.3694 | reduction=63.06% | time=14.0959s
QP=24 | PSNR=42.25 | SSIM=0.9926 | size=3.86 KB | ratio=0.1898 | reduction=81.02% | time=2.8729s
QP=30 | PSNR=38.45 | SSIM=0.9811 | size=1.86 KB | ratio=0.0912 | reduction=90.88% | time=5.8059s
QP=36 | PSNR=34.83 | SSIM=0.9543 | size=830 B | ratio=0.0398 | reduction=96.02% | time=5.2154s
QP=42 | PSNR=31.60 | SSIM=0.8991 | size=248 B | ratio=0.0119 | reduction=98.81% | time=9.2820s
QP=48 | PSNR=29.46 | SSIM=0.8458 | size=70 B | ratio=0.0034 | reduction=99.66% | time=2.6443s
QP= 6 | PSNR=54.29 | SSIM=0.9998 | size=13.96 KB | ratio=1.8337 | reduction=-83.37% | time=6.1745s
QP=12 | PSNR=49.03 | SSIM=0.9995 | size=9.57 KB | ratio=1.2566 | reduction=-25.66% | time=4.2586s
QP=18 | PSNR=43.77 | SSIM=0.9982 | size=5.44 KB | ratio=0.7149 | reduction=28.51% | time=5.5123s
QP=24 | PSNR=39.65 | SSIM=0.9944 | size=2.77 KB | ratio=0.3638 | reduction=63.62% | time=5.4364s
QP=30 | PSNR=35.41 | SSIM=0.9832 | size=1.41 KB | ratio=0.1845 | reduction=81.55% | time=3.4267s
QP=36 | PSNR=31.96 | SSIM=0.9581 | size=782 B | ratio=0.1003 | reduction=89.97% | time=2.0819s
QP=42 | PSNR=27.99 | SSIM=0.8909 | size=347 B | ratio=0.0445 | reduction=95.55% | time=3.5950s
QP=48 | PSNR=25.10 | SSIM=0.7813 | size=150 B | ratio=0.0192 | reduction=98.08% | time=1.1705s
QP= 6 | PSNR=53.72 | SSIM=0.9996 | size=15.91 KB | ratio=1.5058 | reduction=-50.58% | time=8.2148s
QP=12 | PSNR=48.60 | SSIM=0.9990 | size=10.47 KB | ratio=0.9910 | reduction=0.90% | time=4.2938s
QP=18 | PSNR=43.14 | SSIM=0.9961 | size=5.59 KB | ratio=0.5293 | reduction=47.07% | time=4.9310s
QP=24 | PSNR=39.13 | SSIM=0.9888 | size=2.78 KB | ratio=0.2632 | reduction=73.68% | time=4.2082s
QP=30 | PSNR=35.41 | SSIM=0.9690 | size=1.21 KB | ratio=0.1145 | reduction=88.55% | time=1.9063s
QP=36 | PSNR=32.13 | SSIM=0.9291 | size=454 B | ratio=0.0420 | reduction=95.80% | time=2.9032s
QP=42 | PSNR=29.29 | SSIM=0.8535 | size=144 B | ratio=0.0133 | reduction=98.67% | time=2.6032s
QP=48 | PSNR=27.77 | SSIM=0.7963 | size=63 B | ratio=0.0058 | reduction=99.42% | time=2.1087s
QP= 6 | PSNR=61.01 | SSIM=0.9999 | size=4.64 KB | ratio=0.9527 | reduction=4.73% | time=5.7065s
QP=12 | PSNR=56.11 | SSIM=0.9996 | size=2.73 KB | ratio=0.5603 | reduction=43.97% | time=8.2831s
QP=18 | PSNR=51.14 | SSIM=0.9988 | size=1.34 KB | ratio=0.2749 | reduction=72.51% | time=2.3884s
QP=24 | PSNR=47.35 | SSIM=0.9966 | size=617 B | ratio=0.1237 | reduction=87.63% | time=2.1620s
QP=30 | PSNR=43.81 | SSIM=0.9922 | size=248 B | ratio=0.0497 | reduction=95.03% | time=3.2455s
QP=36 | PSNR=41.31 | SSIM=0.9875 | size=107 B | ratio=0.0215 | reduction=97.85% | time=4.2770s
