QP= 6 | PSNR=51.83 | SSIM=0.9985 | size=89.72 KB | ratio=0.3203 | reduction=67.97% | time=4.3695s
QP=12 | PSNR=49.18 | SSIM=0.9977 | size=46.63 KB | ratio=0.1665 | reduction=83.35% | time=3.5211s
QP=18 | PSNR=46.19 | SSIM=0.9956 | size=22.26 KB | ratio=0.0795 | reduction=92.05% | time=2.9921s
QP=24 | PSNR=43.73 | SSIM=0.9922 | size=11.71 KB | ratio=0.0418 | reduction=95.82% | time=2.6931s
QP=30 | PSNR=40.82 | SSIM=0.9857 | size=6.33 KB | ratio=0.0226 | reduction=97.74% | time=2.4641s
QP=36 | PSNR=37.37 | SSIM=0.9734 | size=3.25 KB | ratio=0.0116 | reduction=98.84% | time=2.3023s
QP=42 | PSNR=34.08 | SSIM=0.9562 | size=1.74 KB | ratio=0.0062 | reduction=99.38% | time=2.1846s
QP=48 | PSNR=30.54 | SSIM=0.9300 | size=984 B | ratio=0.0034 | reduction=99.66% | time=2.0833s
QP= 6 | PSNR=52.13 | SSIM=0.9989 | size=69.16 KB | ratio=0.2899 | reduction=71.01% | time=4.0418s
QP=12 | PSNR=49.85 | SSIM=0.9984 | size=38.62 KB | ratio=0.1619 | reduction=83.81% | time=3.3361s
QP=18 | PSNR=47.04 | SSIM=0.9970 | size=21.10 KB | ratio=0.0885 | reduction=91.15% | time=2.9592s
QP=24 | PSNR=44.43 | SSIM=0.9948 | size=11.82 KB | ratio=0.0496 | reduction=95.04% | time=2.6962s
QP=30 | PSNR=41.08 | SSIM=0.9902 | size=6.50 KB | ratio=0.0272 | reduction=97.28% | time=2.4691s
QP=36 | PSNR=37.35 | SSIM=0.9821 | size=3.58 KB | ratio=0.0150 | reduction=98.50% | time=2.3116s
QP=42 | PSNR=33.72 | SSIM=0.9702 | size=2.05 KB | ratio=0.0086 | reduction=99.14% | time=2.1365s
QP=48 | PSNR=30.03 | SSIM=0.9489 | size=1.20 KB | ratio=0.0050 | reduction=99.50% | time=2.0956s
QP= 6 | PSNR=51.94 | SSIM=0.9988 | size=64.97 KB | ratio=0.2654 | reduction=73.46% | time=3.9287s
QP=12 | PSNR=49.91 | SSIM=0.9984 | size=36.36 KB | ratio=0.1485 | reduction=85.15% | time=3.2987s
QP=18 | PSNR=47.17 | SSIM=0.9970 | size=20.90 KB | ratio=0.0854 | reduction=91.46% | time=2.8684s
QP=24 | PSNR=44.56 | SSIM=0.9947 | size=12.32 KB | ratio=0.0503 | reduction=94.97% | time=2.6583s
QP=30 | PSNR=40.96 | SSIM=0.9897 | size=6.50 KB | ratio=0.0266 | reduction=97.34% | time=2.4444s
QP=36 | PSNR=37.33 | SSIM=0.9809 | size=3.49 KB | ratio=0.0143 | reduction=98.57% | time=2.2944s
QP=42 | PSNR=33.70 | SSIM=0.9674 | size=1.95 KB | ratio=0.0080 | reduction=99.20% | time=2.1488s
QP=48 | PSNR=30.04 | SSIM=0.9443 | size=1.11 KB | ratio=0.0045 | reduction=99.55% | time=2.0969s
QP= 6 | PSNR=51.99 | SSIM=0.9988 | size=74.88 KB | ratio=0.2911 | reduction=70.89% | time=4.1021s
QP=12 | PSNR=49.62 | SSIM=0.9981 | size=39.49 KB | ratio=0.1535 | reduction=84.65% | time=3.5039s
QP=18 | PSNR=46.90 | SSIM=0.9966 | size=20.11 KB | ratio=0.0782 | reduction=92.18% | time=3.0630s
QP=24 | PSNR=44.51 | SSIM=0.9943 | size=11.17 KB | ratio=0.0434 | reduction=95.66% | time=2.8349s
QP=30 | PSNR=41.34 | SSIM=0.9889 | size=6.15 KB | ratio=0.0239 | reduction=97.61% | time=2.6895s
QP=36 | PSNR=37.79 | SSIM=0.9789 | size=3.36 KB | ratio=0.0131 | reduction=98.69% | time=2.6953s
QP=42 | PSNR=34.23 | SSIM=0.9625 | size=1.87 KB | ratio=0.0073 | reduction=99.27% | time=2.2347s
QP=48 | PSNR=30.73 | SSIM=0.9345 | size=1.07 KB | ratio=0.0042 | reduction=99.58% | time=2.2973s
QP= 6 | PSNR=51.76 | SSIM=0.9989 | size=75.86 KB | ratio=0.2535 | reduction=74.65% | time=4.9848s
QP=12 | PSNR=49.62 | SSIM=0.9984 | size=40.64 KB | ratio=0.1358 | reduction=86.42% | time=3.9811s
QP=18 | PSNR=46.82 | SSIM=0.9971 | size=24.69 KB | ratio=0.0825 | reduction=91.75% | time=3.3665s
QP=24 | PSNR=44.23 | SSIM=0.9948 | size=15.10 KB | ratio=0.0505 | reduction=94.95% | time=3.2063s
QP=30 | PSNR=40.28 | SSIM=0.9884 | size=7.86 KB | ratio=0.0263 | reduction=97.37% | time=2.8083s
QP=36 | PSNR=36.60 | SSIM=0.9770 | size=4.10 KB | ratio=0.0137 | reduction=98.63% | time=3.1881s
QP=42 | PSNR=33.05 | SSIM=0.9601 | size=2.21 KB | ratio=0.0074 | reduction=99.26% | time=2.3731s
QP=48 | PSNR=29.41 | SSIM=0.9326 | size=1.19 KB | ratio=0.0040 | reduction=99.60% | time=2.6739s
QP= 6 | PSNR=51.79 | SSIM=0.9989 | size=87.01 KB | ratio=0.2882 | reduction=71.18% | time=4.8008s
QP=12 | PSNR=49.22 | SSIM=0.9982 | size=46.94 KB | ratio=0.1555 | reduction=84.45% | time=4.0431s
QP=18 | PSNR=46.33 | SSIM=0.9967 | size=25.13 KB | ratio=0.0832 | reduction=91.68% | time=3.2718s
QP=24 | PSNR=43.66 | SSIM=0.9941 | size=14.16 KB | ratio=0.0469 | reduction=95.31% | time=2.9190s
QP=30 | PSNR=40.23 | SSIM=0.9884 | size=7.66 KB | ratio=0.0254 | reduction=97.46% | time=2.8086s
QP=36 | PSNR=36.59 | SSIM=0.9776 | size=4.12 KB | ratio=0.0137 | reduction=98.63% | time=2.8024s
QP=42 | PSNR=33.00 | SSIM=0.9606 | size=2.24 KB | ratio=0.0074 | reduction=99.26% | time=2.6325s
QP=48 | PSNR=29.47 | SSIM=0.9326 | size=1.23 KB | ratio=0.0041 | reduction=99.59% | time=2.7196s
QP= 6 | PSNR=52.14 | SSIM=0.9989 | size=64.95 KB | ratio=0.2690 | reduction=73.10% | time=4.9872s
QP=12 | PSNR=50.05 | SSIM=0.9984 | size=35.61 KB | ratio=0.1475 | reduction=85.25% | time=3.6899s
QP=18 | PSNR=47.42 | SSIM=0.9970 | size=20.71 KB | ratio=0.0858 | reduction=91.42% | time=3.2448s
QP=24 | PSNR=44.75 | SSIM=0.9948 | size=12.36 KB | ratio=0.0512 | reduction=94.88% | time=3.1742s
QP=30 | PSNR=40.91 | SSIM=0.9894 | size=6.38 KB | ratio=0.0264 | reduction=97.36% | time=2.8248s
QP=36 | PSNR=37.30 | SSIM=0.9810 | size=3.46 KB | ratio=0.0143 | reduction=98.57% | time=2.8161s
QP=42 | PSNR=33.78 | SSIM=0.9690 | size=1.98 KB | ratio=0.0082 | reduction=99.18% | time=2.5982s
QP=48 | PSNR=30.05 | SSIM=0.9469 | size=1.08 KB | ratio=0.0045 | reduction=99.55% | time=2.2422s
QP= 6 | PSNR=51.46 | SSIM=0.9989 | size=126.49 KB | ratio=0.3656 | reduction=63.44% | time=5.0988s
QP=12 | PSNR=48.28 | SSIM=0.9981 | size=68.21 KB | ratio=0.1971 | reduction=80.29% | time=4.4774s
QP=18 | PSNR=44.95 | SSIM=0.9962 | size=37.10 KB | ratio=0.1072 | reduction=89.28% | time=3.8379s
QP=24 | PSNR=42.08 | SSIM=0.9929 | size=19.98 KB | ratio=0.0577 | reduction=94.23% | time=3.5481s
QP=30 | PSNR=38.74 | SSIM=0.9854 | size=10.70 KB | ratio=0.0309 | reduction=96.91% | time=3.0217s
QP=36 | PSNR=35.38 | SSIM=0.9691 | size=5.76 KB | ratio=0.0167 | reduction=98.33% | time=2.6677s
QP=42 | PSNR=31.75 | SSIM=0.9369 | size=2.89 KB | ratio=0.0084 | reduction=99.16% | time=2.5877s
QP=48 | PSNR=28.24 | SSIM=0.8798 | size=1.42 KB | ratio=0.0041 | reduction=99.59% | time=2.4350s
QP= 6 | PSNR=52.00 | SSIM=0.9987 | size=73.05 KB | ratio=0.2759 | reduction=72.41% | time=4.7138s
QP=12 | PSNR=49.79 | SSIM=0.9982 | size=38.09 KB | ratio=0.1439 | reduction=85.61% | time=4.0599s
QP=18 | PSNR=47.04 | SSIM=0.9967 | size=21.42 KB | ratio=0.0809 | reduction=91.91% | time=3.3922s
QP=24 | PSNR=44.59 | SSIM=0.9944 | size=12.67 KB | ratio=0.0478 | reduction=95.22% | time=3.2481s
QP=30 | PSNR=41.02 | SSIM=0.9885 | size=6.67 KB | ratio=0.0252 | reduction=97.48% | time=2.9366s
QP=36 | PSNR=37.35 | SSIM=0.9771 | size=3.45 KB | ratio=0.0130 | reduction=98.70% | time=2.5164s
QP=42 | PSNR=33.86 | SSIM=0.9597 | size=1.90 KB | ratio=0.0072 | reduction=99.28% | time=2.8014s
QP=48 | PSNR=30.38 | SSIM=0.9287 | size=1.07 KB | ratio=0.0040 | reduction=99.60% | time=2.5171s
QP= 6 | PSNR=51.73 | SSIM=0.9988 | size=70.67 KB | ratio=0.2890 | reduction=71.10% | time=4.2675s
QP=12 | PSNR=49.65 | SSIM=0.9983 | size=37.77 KB | ratio=0.1545 | reduction=84.55% | time=3.8285s
QP=18 | PSNR=47.01 | SSIM=0.9969 | size=21.94 KB | ratio=0.0897 | reduction=91.03% | time=3.5681s
QP=24 | PSNR=44.45 | SSIM=0.9947 | size=12.87 KB | ratio=0.0526 | reduction=94.74% | time=3.3950s
QP=30 | PSNR=40.74 | SSIM=0.9892 | size=6.72 KB | ratio=0.0275 | reduction=97.25% | time=2.8355s
QP=36 | PSNR=37.15 | SSIM=0.9801 | size=3.60 KB | ratio=0.0147 | reduction=98.53% | time=2.8878s
QP=42 | PSNR=33.57 | SSIM=0.9651 | size=2.08 KB | ratio=0.0085 | reduction=99.15% | time=2.3018s
QP=48 | PSNR=29.82 | SSIM=0.9367 | size=1.12 KB | ratio=0.0046 | reduction=99.54% | time=2.4151s
QP= 6 | PSNR=51.47 | SSIM=0.9988 | size=130.28 KB | ratio=0.3646 | reduction=63.54% | time=5.6580s
QP=12 | PSNR=48.20 | SSIM=0.9979 | size=67.52 KB | ratio=0.1890 | reduction=81.10% | time=4.3352s
QP=18 | PSNR=44.83 | SSIM=0.9957 | size=34.32 KB | ratio=0.0961 | reduction=90.39% | time=3.8945s
QP=24 | PSNR=42.13 | SSIM=0.9923 | size=18.12 KB | ratio=0.0507 | reduction=94.93% | time=3.2045s
QP=30 | PSNR=39.06 | SSIM=0.9854 | size=9.91 KB | ratio=0.0277 | reduction=97.23% | time=2.8900s
QP=36 | PSNR=35.78 | SSIM=0.9715 | size=5.42 KB | ratio=0.0152 | reduction=98.48% | time=2.9786s
QP=42 | PSNR=32.23 | SSIM=0.9440 | size=2.89 KB | ratio=0.0081 | reduction=99.19% | time=2.7168s
QP=48 | PSNR=28.69 | SSIM=0.8945 | size=1.45 KB | ratio=0.0041 | reduction=99.59% | time=2.3730s
QP= 6 | PSNR=52.04 | SSIM=0.9986 | size=74.89 KB | ratio=0.2895 | reduction=71.05% | time=4.5406s
QP=12 | PSNR=49.70 | SSIM=0.9980 | size=41.90 KB | ratio=0.1620 | reduction=83.80% | time=4.2065s
QP=18 | PSNR=46.51 | SSIM=0.9961 | size=21.75 KB | ratio=0.0841 | reduction=91.59% | time=3.5622s
QP=24 | PSNR=44.06 | SSIM=0.9932 | size=11.92 KB | ratio=0.0461 | reduction=95.39% | time=3.1329s
QP=30 | PSNR=40.96 | SSIM=0.9867 | size=6.31 KB | ratio=0.0244 | reduction=97.56% | time=2.7912s
QP=36 | PSNR=37.42 | SSIM=0.9740 | size=3.20 KB | ratio=0.0124 | reduction=98.76% | time=2.5515s
QP=42 | PSNR=34.12 | SSIM=0.9579 | size=1.77 KB | ratio=0.0068 | reduction=99.32% | time=2.3095s
QP=48 | PSNR=30.67 | SSIM=0.9339 | size=992 B | ratio=0.0037 | reduction=99.63% | time=2.2465s
QP= 6 | PSNR=51.83 | SSIM=0.9989 | size=81.77 KB | ratio=0.2711 | reduction=72.89% | time=4.6659s
QP=12 | PSNR=49.43 | SSIM=0.9983 | size=43.40 KB | ratio=0.1439 | reduction=85.61% | time=3.8526s
QP=18 | PSNR=46.68 | SSIM=0.9969 | size=24.84 KB | ratio=0.0824 | reduction=91.76% | time=3.5418s
QP=24 | PSNR=44.08 | SSIM=0.9946 | size=14.95 KB | ratio=0.0496 | reduction=95.04% | time=3.3834s
QP=30 | PSNR=40.21 | SSIM=0.9885 | size=7.86 KB | ratio=0.0260 | reduction=97.40% | time=2.7171s
QP=36 | PSNR=36.54 | SSIM=0.9775 | size=4.14 KB | ratio=0.0137 | reduction=98.63% | time=2.4320s
QP=42 | PSNR=33.00 | SSIM=0.9604 | size=2.24 KB | ratio=0.0074 | reduction=99.26% | time=2.3740s
QP=48 | PSNR=29.39 | SSIM=0.9321 | size=1.19 KB | ratio=0.0040 | reduction=99.60% | time=2.3423s
QP= 6 | PSNR=51.61 | SSIM=0.9988 | size=77.41 KB | ratio=0.3053 | reduction=69.47% | time=4.5081s
QP=12 | PSNR=49.43 | SSIM=0.9983 | size=41.61 KB | ratio=0.1641 | reduction=83.59% | time=3.8269s
QP=18 | PSNR=46.71 | SSIM=0.9968 | size=23.34 KB | ratio=0.0921 | reduction=90.79% | time=3.2992s
QP=24 | PSNR=44.17 | SSIM=0.9945 | size=13.67 KB | ratio=0.0539 | reduction=94.61% | time=3.1427s
QP=30 | PSNR=40.46 | SSIM=0.9888 | size=7.08 KB | ratio=0.0279 | reduction=97.21% | time=2.8348s
QP=36 | PSNR=36.88 | SSIM=0.9787 | size=3.75 KB | ratio=0.0148 | reduction=98.52% | time=2.4708s
QP=42 | PSNR=33.32 | SSIM=0.9633 | size=2.09 KB | ratio=0.0082 | reduction=99.18% | time=2.3630s
QP=48 | PSNR=29.61 | SSIM=0.9308 | size=1.10 KB | ratio=0.0043 | reduction=99.57% | time=2.5022s
QP= 6 | PSNR=52.23 | SSIM=0.9989 | size=67.41 KB | ratio=0.2732 | reduction=72.68% | time=4.2394s
QP=12 | PSNR=50.01 | SSIM=0.9984 | size=37.30 KB | ratio=0.1512 | reduction=84.88% | time=3.7764s
QP=18 | PSNR=47.23 | SSIM=0.9969 | size=21.17 KB | ratio=0.0858 | reduction=91.42% | time=3.3975s
QP=24 | PSNR=44.68 | SSIM=0.9946 | size=12.62 KB | ratio=0.0511 | reduction=94.89% | time=2.9290s
QP=30 | PSNR=40.85 | SSIM=0.9891 | size=6.50 KB | ratio=0.0264 | reduction=97.36% | time=2.7280s
QP=36 | PSNR=37.30 | SSIM=0.9805 | size=3.50 KB | ratio=0.0142 | reduction=98.58% | time=2.3690s
QP=42 | PSNR=33.65 | SSIM=0.9678 | size=1.96 KB | ratio=0.0079 | reduction=99.21% | time=2.3359s
QP=48 | PSNR=30.10 | SSIM=0.9461 | size=1.12 KB | ratio=0.0045 | reduction=99.55% | time=2.1557s
QP= 6 | PSNR=51.40 | SSIM=0.9987 | size=132.49 KB | ratio=0.3716 | reduction=62.84% | time=5.3654s
QP=12 | PSNR=48.03 | SSIM=0.9976 | size=65.98 KB | ratio=0.1851 | reduction=81.49% | time=4.5138s
QP=18 | PSNR=44.89 | SSIM=0.9952 | size=31.54 KB | ratio=0.0885 | reduction=91.15% | time=3.9289s
QP=24 | PSNR=42.39 | SSIM=0.9911 | size=17.24 KB | ratio=0.0484 | reduction=95.16% | time=3.5774s
QP=30 | PSNR=39.30 | SSIM=0.9813 | size=9.57 KB | ratio=0.0268 | reduction=97.32% | time=2.7890s
QP=36 | PSNR=35.59 | SSIM=0.9570 | size=4.53 KB | ratio=0.0127 | reduction=98.73% | time=2.7177s
QP=42 | PSNR=32.29 | SSIM=0.9224 | size=2.00 KB | ratio=0.0056 | reduction=99.44% | time=2.2232s
