domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,ObjectFolder1.0,BPG,6.0,8.7300409375,50.1634473193021,31.119528744523222
image,ObjectFolder1.0,BPG,12.0,5.3074841458333335,45.82279627721728,27.06892857320587
image,ObjectFolder1.0,BPG,18.0,2.7966907291666665,41.25369019965363,22.57957665773272
image,ObjectFolder1.0,BPG,24.0,1.1422929583333332,37.30099993004339,18.49338303261375
image,ObjectFolder1.0,BPG,30.0,0.47779381249999997,34.44514987533653,15.190764325200933
image,ObjectFolder1.0,BPG,36.0,0.21580962499999995,32.02385316357381,12.397284143033751
image,ObjectFolder1.0,BPG,42.0,0.10360191666666663,29.5530896101307,9.957197062563159
image,ObjectFolder1.0,BPG,48.0,0.056176124999999966,26.9403382490336,7.820657679018745
image,ObjectFolder1.0,ELIC,4.0,0.07810174999999997,26.7496040619864,7.57181384321327
image,ObjectFolder1.0,ELIC,8.0,0.0972943333333333,28.31614410620132,8.871236107503393
image,ObjectFolder1.0,ELIC,16.0,0.1224373333333333,29.351824107864278,9.806403232115485
image,ObjectFolder1.0,ELIC,32.0,0.16287166666666664,30.479696956004073,10.998247516762865
image,ObjectFolder1.0,ELIC,150.0,0.34376016666666664,32.76719036536266,13.719318491470563
image,ObjectFolder1.0,ELIC,450.0,0.6140345,34.31750168450966,15.821681704396388
image,ObjectFolder1.0,HM-Intra,12.0,6.896604520833334,50.50523010091921,31.92511522146611
image,ObjectFolder1.0,HM-Intra,17.0,4.645746333333333,45.96169862467114,27.18619599471718
image,ObjectFolder1.0,HM-Intra,22.0,2.7434746666666667,41.996208144274895,23.150830704209454
image,ObjectFolder1.0,HM-Intra,27.0,1.3680095208333334,38.316385973080685,19.431071065343943
image,ObjectFolder1.0,HM-Intra,32.0,0.6768693958333333,35.64011597796576,16.411982457018652
image,ObjectFolder1.0,HM-Intra,37.0,0.364598875,33.4566729273231,13.847457142731207
image,ObjectFolder1.0,HM-Intra,42.0,0.2132269375,31.37630406583532,11.510606989561053
image,ObjectFolder1.0,HM-Intra,47.0,0.13715379166666664,29.212005846854574,9.511061626974264
image,ObjectFolder1.0,HM-SCC,12.0,7.085104145833333,50.48426621542442,31.71973357796045
image,ObjectFolder1.0,HM-SCC,17.0,4.554400833333333,45.77481561404628,26.85865490307116
image,ObjectFolder1.0,HM-SCC,22.0,2.6446095208333333,41.85466463725373,22.945672012642174
image,ObjectFolder1.0,HM-SCC,27.0,1.2918981458333334,38.07600250338587,19.23460174355569
image,ObjectFolder1.0,HM-SCC,32.0,0.5945216875,35.126732331528174,15.908308242035776
image,ObjectFolder1.0,HM-SCC,37.0,0.30481177083333333,32.66275934382858,13.088103828614326
image,ObjectFolder1.0,HM-SCC,42.0,0.16840097916666663,29.860758994796104,10.266521455852763
image,ObjectFolder1.0,HM-SCC,47.0,0.11497106249999997,27.188601571125602,8.126399083645973
image,ObjectFolder1.0,JPEG-XL,2.0,1.0070765,34.24667618564073,15.931090319846614
image,ObjectFolder1.0,JPEG-XL,4.0,0.4986359375,32.29106056636302,13.542383299842962
image,ObjectFolder1.0,JPEG-XL,6.0,0.3498375625,31.304638296118956,12.364030547737766
image,ObjectFolder1.0,JPEG-XL,8.0,0.2823413333333333,30.463591892226315,11.45340872592366
image,ObjectFolder1.0,JPEG-XL,10.0,0.24846249999999995,29.96747144098627,10.962511140261627
image,ObjectFolder1.0,JPEG-XL,12.0,0.21982143749999997,29.266507323260967,10.307985913731402
image,ObjectFolder1.0,JPEG-XL,14.0,0.19510622916666664,28.66974799708492,9.8507984447196
image,ObjectFolder1.0,JPEG2000,28.0,0.18562493749999998,26.30133832958147,8.71697026977639
image,ObjectFolder1.0,JPEG2000,30.0,0.2923596458333333,28.720738716741703,10.44107789811124
image,ObjectFolder1.0,JPEG2000,32.0,0.47170199999999995,31.447818550587986,12.246187836703081
image,ObjectFolder1.0,JPEG2000,35.0,0.9887137291666666,34.77934151685804,15.627132006734898
image,ObjectFolder1.0,JPEG2000,38.0,1.9715331249999999,37.77022954727239,18.600098751750807
image,ObjectFolder1.0,JPEG2000,41.0,3.290503333333333,40.581140480686535,21.543262898542164
image,ObjectFolder1.0,JPEG2000,44.0,4.863865666666667,43.133656386456884,23.729282659251265
image,ObjectFolder1.0,JPEG2000,47.0,6.3639890625,45.19713166895925,25.96044406245135
image,ObjectFolder1.0,LALIC,1.0,0.121686666683,29.200739204896998,9.875614056350999
image,ObjectFolder1.0,LALIC,2.0,0.15260708332,30.420089185680002,10.839204561391
image,ObjectFolder1.0,LALIC,3.0,0.2168180833775,31.446189360611,12.120356436721
image,ObjectFolder1.0,LALIC,4.0,0.3146256666585,32.555565502323,13.1903723433855
image,ObjectFolder1.0,LALIC,5.0,0.4768753333115,33.8285928686195,14.805441833829502
image,ObjectFolder1.0,LALIC,6.0,0.686679249998,34.979666428377506,16.140547063532
image,ObjectFolder1.0,TCM,25.0,0.139,29.52,10.2984
image,ObjectFolder1.0,TCM,35.0,0.167,30.13,10.7729
image,ObjectFolder1.0,TCM,67.0,0.234,31.24,11.8973
image,ObjectFolder1.0,TCM,130.0,0.348,31.75,13.0252
image,ObjectFolder1.0,TCM,250.0,0.506,33.43,14.6109
image,ObjectFolder1.0,TCM,500.0,0.762,34.82,16.2427
image,ObjectFolder1.0,TaCo-L,1.0,0.11555666274910872,30.300319790825487,10.825673879351498
image,ObjectFolder1.0,TaCo-L,2.0,0.1451219594353902,31.52002319996602,11.78929241888949
image,ObjectFolder1.0,TaCo-L,3.0,0.20618543791002925,32.546449128063855,13.07047698839338
image,ObjectFolder1.0,TaCo-L,4.0,0.2987614728117867,33.655480869520936,14.139960006707229
image,ObjectFolder1.0,TaCo-L,5.0,0.45311842632126836,34.92839215194399,15.755452584613735
image,ObjectFolder1.0,TaCo-L,6.0,0.6521186592972958,36.07945946507875,17.090357606176678
image,ObjectFolder1.0,VTM-Intra,22.0,2.7420970624999996,43.145336745952974,24.07573809071184
image,ObjectFolder1.0,VTM-Intra,27.0,1.450919375,39.431773930258416,20.354036515147662
image,ObjectFolder1.0,VTM-Intra,32.0,0.6875450416666666,36.366301398247394,17.106443607905575
image,ObjectFolder1.0,VTM-Intra,37.0,0.3379734375,34.030349660735226,14.45972007091225
image,ObjectFolder1.0,VTM-Intra,42.0,0.18135466666666664,32.00823747830512,12.24191940459895
image,ObjectFolder1.0,VTM-Intra,47.0,0.10623997916666662,29.98081254447935,10.213785847031383
image,ObjectFolder1.0,VTM-Intra,52.0,0.0717061458333333,28.001484145714198,8.508665448029172
image,ObjectFolder1.0,VTM-SCC,22.0,2.760137125,43.141846892177846,24.045893476000305
image,ObjectFolder1.0,VTM-SCC,27.0,1.4560229375,39.38691894320464,20.322477993356713
image,ObjectFolder1.0,VTM-SCC,32.0,0.695473625,36.36854507172901,17.12693383927221
image,ObjectFolder1.0,VTM-SCC,37.0,0.34556041666666665,34.051336615689095,14.454147561691137
image,ObjectFolder1.0,VTM-SCC,42.0,0.18410662499999997,31.973810980949754,12.225610341094008
image,ObjectFolder1.0,VTM-SCC,47.0,0.10806849999999997,29.967309049437127,10.204937729151373
