domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,ObjTac,BPG,6.0,1.2471982112927893,59.02943491297443,39.815964293830945
image,ObjTac,BPG,12.0,0.8408381588926638,53.9721578156953,34.746809408828675
image,ObjTac,BPG,18.0,0.5326680563075205,48.704043685154836,29.35554406930308
image,ObjTac,BPG,24.0,0.3130681720386203,44.06448301342062,24.204985662096934
image,ObjTac,BPG,30.0,0.1674633022809878,39.49393460255142,19.261097506876677
image,ObjTac,BPG,36.0,0.07483167250071403,35.638318111587516,15.125638032096976
image,ObjTac,BPG,42.0,0.02575252776117804,32.58617648386936,11.988650204698478
image,ObjTac,BPG,48.0,0.0122934773448602,30.53879624990489,10.113773915201296
image,ObjTac,ELIC,4.0,0.03542516773485503,30.132212616739853,9.639841575378455
image,ObjTac,ELIC,8.0,0.044620969305610034,31.094148265063968,10.680823196431062
image,ObjTac,ELIC,16.0,0.060399494872068256,32.119646523849504,11.781327890617776
image,ObjTac,ELIC,32.0,0.0901196112574643,33.534610763766054,13.239997510096545
image,ObjTac,ELIC,150.0,0.19587028675867454,36.51908265501752,16.588881220130173
image,ObjTac,ELIC,450.0,0.338250914974399,38.3304995371931,18.911936598682793
image,ObjTac,HM-Intra,12.0,1.4514360935810802,60.2961558278323,39.70829433594498
image,ObjTac,HM-Intra,17.0,1.1874522326783326,54.71129022916579,34.74079479182093
image,ObjTac,HM-Intra,22.0,0.8391829669937684,50.32820128319555,30.178084616490086
image,ObjTac,HM-Intra,27.0,0.5338651016048716,45.64851177437473,25.160532820309033
image,ObjTac,HM-Intra,32.0,0.31708404219996167,41.587290925692535,20.891502474224403
image,ObjTac,HM-Intra,37.0,0.1765934225310275,38.008237009511184,17.226984223633256
image,ObjTac,HM-Intra,42.0,0.09300843183523275,34.87067984334765,14.069622873047004
image,ObjTac,HM-Intra,47.0,0.05145204573150122,32.44651657818273,11.745494013450747
image,ObjTac,HM-SCC,12.0,1.2059101455617243,68.49430902913807,50.732164616060835
image,ObjTac,HM-SCC,17.0,0.9404291331784822,62.12988244480743,44.5273676169051
image,ObjTac,HM-SCC,22.0,0.6719214248332029,56.69204809018974,37.957865408749036
image,ObjTac,HM-SCC,27.0,0.4442462285180157,51.09541880702383,31.63312810739005
image,ObjTac,HM-SCC,32.0,0.26249938342357687,45.63706612174737,25.522191008189896
image,ObjTac,HM-SCC,37.0,0.13726844027956148,39.87125200122597,19.268782158929607
image,ObjTac,HM-SCC,42.0,0.06397296494208482,34.31854383534659,13.691838581127545
image,ObjTac,HM-SCC,47.0,0.038951547979106674,31.197206810373608,10.623085897593773
image,ObjTac,JPEG-XL,4.0,0.29978316276799155,37.238539541698934,17.695106384846223
image,ObjTac,JPEG-XL,6.0,0.20334346556209004,35.2821458816438,15.91374132756665
image,ObjTac,JPEG-XL,8.0,0.15941649521709328,34.24232809582064,14.775022219447616
image,ObjTac,JPEG-XL,10.0,0.13260538151244894,33.513838067262085,13.992220331040338
image,ObjTac,JPEG-XL,12.0,0.11255917966734608,32.910367290261455,13.383161337902877
image,ObjTac,JPEG-XL,14.0,0.09836463538406129,32.34281507405191,12.868126586470709
image,ObjTac,JPEG2000,32.0,0.10016011520715638,31.00914038647095,11.74910833184168
image,ObjTac,JPEG2000,35.0,0.18326003017482737,34.34894789226,14.027309344873863
image,ObjTac,JPEG2000,38.0,0.32487709947618265,37.485206956210114,16.60221911022922
image,ObjTac,JPEG2000,41.0,0.5200557300611129,40.5476931649922,19.14633215835928
image,ObjTac,JPEG2000,44.0,0.7655998219584206,43.26922068375651,21.55032687567232
image,ObjTac,JPEG2000,47.0,1.0463784019851088,45.770205611252024,23.85378543683218
