domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,SSVTP,BPG,6.0,1.7320189950980391,53.521470064642806,32.593078707021114
image,SSVTP,BPG,12.0,0.7918895243282498,50.02930660821589,27.98097688577961
image,SSVTP,BPG,18.0,0.40075424382716046,47.35902590636808,23.678238036618872
image,SSVTP,BPG,24.0,0.19132001180101665,45.72379312073003,21.512434423770042
image,SSVTP,BPG,30.0,0.11396048928830789,42.861179596713946,18.043462615346442
image,SSVTP,BPG,36.0,0.04784858387799561,39.26213915196607,14.431480185562393
image,SSVTP,BPG,42.0,0.027073574800290448,36.66418407094003,12.397979503451014
image,SSVTP,BPG,48.0,0.016570216049382684,33.47301030770334,10.153301659468854
image,SSVTP,ELIC,4.0,0.02297657952069714,33.835271020675265,11.396673816255973
image,SSVTP,ELIC,8.0,0.028225308641975273,35.74236823897578,12.458713717797092
image,SSVTP,ELIC,16.0,0.03434141249092226,37.24527675052248,13.324377662738677
image,SSVTP,ELIC,32.0,0.04478758169934638,38.46798527161663,14.165319168676813
image,SSVTP,ELIC,150.0,0.0791712055192447,41.22363272311919,16.15967568049857
image,SSVTP,ELIC,450.0,0.13992147785039938,43.410771957700156,18.32519688646932
image,SSVTP,HM-Intra,12.0,1.2900312046114741,51.61698687580724,30.31807998929425
image,SSVTP,HM-Intra,17.0,0.7792687908496732,49.574677589298474,26.358953477883983
image,SSVTP,HM-Intra,22.0,0.38316902687000726,47.67057335045194,23.55432805790537
image,SSVTP,HM-Intra,27.0,0.21950969045025415,46.022391383672236,21.30876225561035
image,SSVTP,HM-Intra,32.0,0.1446439270152505,44.07477032406783,18.99116424631815
image,SSVTP,HM-Intra,37.0,0.07951729302832242,41.20060692153982,15.976903622074358
image,SSVTP,HM-Intra,42.0,0.0509364787581699,38.951325984172556,14.055934056609336
image,SSVTP,HM-Intra,47.0,0.03598220769789394,36.58979213508296,12.259793217573398
image,SSVTP,HM-SCC,12.0,1.4315191539578793,51.62953246346605,30.036919734379
image,SSVTP,HM-SCC,17.0,0.7411166712055193,49.34196505134502,26.101036915892394
image,SSVTP,HM-SCC,22.0,0.3797848583877996,47.66670080038831,23.67640589287711
image,SSVTP,HM-SCC,27.0,0.22512413761801015,45.77071373971367,21.078528810887963
image,SSVTP,HM-SCC,32.0,0.12488142247639793,43.01599312823643,17.791948196782975
image,SSVTP,HM-SCC,37.0,0.07011426561365285,40.316709663253114,15.209901293172953
image,SSVTP,HM-SCC,42.0,0.044509123093681886,37.45015402580669,12.912884974783012
image,SSVTP,HM-SCC,47.0,0.033061115649963654,34.35591616067142,10.724109464466148
image,SSVTP,JPEG-XL,4.0,0.17502961601307188,42.230055730042835,17.121658475389143
image,SSVTP,JPEG-XL,6.0,0.13127961601307186,41.07250395144031,15.981422395769176
image,SSVTP,JPEG-XL,8.0,0.11561683006535944,40.470429070496394,15.436302935559908
image,SSVTP,JPEG-XL,10.0,0.10590720315904137,39.95643198793806,15.00199479253389
