domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,TouchandGo,BPG,6.0,2.2584239211309525,51.87041566748209,29.22856322403398
image,TouchandGo,BPG,12.0,1.2109826264880952,49.43321141660723,27.493001898069195
image,TouchandGo,BPG,18.0,0.6618878348214285,46.474636682237346,24.64751530120837
image,TouchandGo,BPG,24.0,0.3764626116071428,43.884424336276226,22.162323492317707
image,TouchandGo,BPG,30.0,0.1995138020833333,40.38714422183733,19.112466810302813
image,TouchandGo,BPG,36.0,0.10495009300595234,36.83292643726338,16.285361603441718
image,TouchandGo,BPG,42.0,0.05705610119047616,33.33375537785903,13.910243410963686
image,TouchandGo,BPG,48.0,0.030746316964285682,29.748387791861276,11.562375013745363
image,TouchandGo,ELIC,4.0,0.02878035714285711,31.51405435193515,13.26303351472397
image,TouchandGo,ELIC,8.0,0.03810803571428568,33.25577710433869,14.260504858933949
image,TouchandGo,ELIC,16.0,0.051009077380952346,34.92611517513326,15.236850124352433
image,TouchandGo,ELIC,32.0,0.06917805059523807,36.581810360240034,16.205362146105585
image,TouchandGo,ELIC,150.0,0.12884047619047614,39.88933748315568,18.598821199180318
image,TouchandGo,ELIC,450.0,0.20572827380952377,42.085216960099864,20.571944470520293
image,TouchandGo,HM-Intra,12.0,1.775349255952381,52.82398609144224,32.23436692630671
image,TouchandGo,HM-Intra,17.0,1.0706760044642858,49.14208151093352,27.73590997905707
image,TouchandGo,HM-Intra,22.0,0.6687985119047619,46.75655863766107,25.29028443043108
image,TouchandGo,HM-Intra,27.0,0.3990373139880952,43.576921944995945,22.27807655739662
image,TouchandGo,HM-Intra,32.0,0.23571391369047615,40.58731268124664,19.73153033758889
image,TouchandGo,HM-Intra,37.0,0.1421703497023809,37.69912577601139,17.4324485223336
image,TouchandGo,HM-Intra,42.0,0.0864255952380952,34.80428208399895,15.267379161298962
image,TouchandGo,HM-Intra,47.0,0.052543508184523774,31.80834379530921,13.123267388760585
image,TouchandGo,HM-SCC,12.0,1.9721036458333332,54.15493019769787,33.710225201630415
image,TouchandGo,HM-SCC,17.0,1.1016805245535715,49.53783076460626,28.059975233931773
image,TouchandGo,HM-SCC,22.0,0.6808329055059524,47.404817340615296,25.561414070522915
image,TouchandGo,HM-SCC,27.0,0.4266324404761904,44.6913175766028,22.853324654059
image,TouchandGo,HM-SCC,32.0,0.24266274181547617,41.63600698516619,20.052660448839823
image,TouchandGo,HM-SCC,37.0,0.13712760416666664,38.342899160300774,17.347202753020248
image,TouchandGo,HM-SCC,42.0,0.07643543526785711,34.496963060610284,14.634334301477248
image,TouchandGo,HM-SCC,47.0,0.04546110491071425,31.012279035612348,12.513170370476832
image,TouchandGo,JPEG-XL,4.0,0.3349182477678571,40.38927426490009,20.22602919090815
image,TouchandGo,JPEG-XL,6.0,0.26269700520833333,38.55371157308552,18.72167445035108
image,TouchandGo,JPEG-XL,8.0,0.21790265997023808,37.33317850845524,17.71260252896876
image,TouchandGo,JPEG-XL,10.0,0.18692931547619046,36.30575186749428,16.862370250515255
image,TouchandGo,JPEG-XL,12.0,0.16229886532738091,35.14627500736114,15.995208747441229
image,TouchandGo,JPEG-XL,14.0,0.1402446614583333,33.64299877316948,15.137628971869862
image,TouchandGo,JPEG2000,32.0,0.06993679315476187,31.02616044795972,12.477159220730734
image,TouchandGo,JPEG2000,35.0,0.1222307477678571,34.108836410994336,14.59807465737882
image,TouchandGo,JPEG2000,38.0,0.20806181175595234,37.18511237365846,16.594598934013035
