domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,YCB-Slide,BPG,12.0,0.7484050266428484,50.143781884609446,28.07377765325846
image,YCB-Slide,BPG,18.0,0.37045867304873575,47.51930233250448,23.95106949457031
image,YCB-Slide,BPG,24.0,0.18471627084096734,45.87687947552203,21.886137467662934
image,YCB-Slide,BPG,30.0,0.09935268947721995,42.701501707808035,18.044537204424966
image,YCB-Slide,BPG,36.0,0.04961117854525464,39.73232180131303,15.318198086164946
image,YCB-Slide,BPG,42.0,0.030696559713570264,36.998654869677296,13.302458158252973
image,YCB-Slide,BPG,48.0,0.019750500030536182,33.4934764589324,10.86049317118603
image,YCB-Slide,ELIC,4.0,0.024876404665933768,34.21786898385326,12.80139935307161
image,YCB-Slide,ELIC,8.0,0.030141955233907385,36.42069604769496,13.945712932573477
image,YCB-Slide,ELIC,16.0,0.03646837211432756,37.95091345169053,14.847703691073336
image,YCB-Slide,ELIC,32.0,0.04445011909124218,39.19273579134112,15.577493352898356
image,YCB-Slide,ELIC,150.0,0.07197164712348841,41.80388532031021,17.233899255706074
image,YCB-Slide,ELIC,450.0,0.12187347318920236,43.78619154881525,19.0598768281436
image,YCB-Slide,HM-Intra,27.0,0.20353522543361424,46.18445808016241,21.667045537026947
image,YCB-Slide,HM-Intra,32.0,0.12869974883962376,44.1937655680585,19.319357859189047
image,YCB-Slide,HM-Intra,37.0,0.07615524230487354,41.69608902236324,16.822485422555555
image,YCB-Slide,HM-Intra,42.0,0.052058866190301666,39.466533308596816,15.101084788043519
image,YCB-Slide,HM-Intra,47.0,0.03854020665384142,36.961275268103364,13.297313957442332
image,YCB-Slide,HM-SCC,27.0,0.2041301568034689,45.86287330967037,21.323406944447328
image,YCB-Slide,HM-SCC,32.0,0.11403974097654816,43.36202067392042,18.397005299947157
image,YCB-Slide,HM-SCC,37.0,0.06895075653475018,40.87226345805145,16.16028230378
image,YCB-Slide,HM-SCC,42.0,0.047141991495663824,37.97275818562383,14.097271670290448
image,YCB-Slide,HM-SCC,47.0,0.035494629443019385,34.58409587573134,11.869702089371728
image,YCB-Slide,JPEG-XL,4.0,0.17523910811347254,42.467128055493305,17.736731279625968
image,YCB-Slide,JPEG-XL,6.0,0.13537021344814948,41.25568868835695,16.700697316136488
image,YCB-Slide,JPEG-XL,8.0,0.12054245679125439,40.56105584666156,16.201623777781304
image,YCB-Slide,JPEG-XL,10.0,0.11082311324355683,39.923456040154875,15.783596522039028
image,YCB-Slide,JPEG-XL,12.0,0.10213426201600094,39.229710684153844,15.35627000243322
image,YCB-Slide,JPEG-XL,14.0,0.09656091593379745,38.73639168029581,15.08231281251812
image,YCB-Slide,JPEG2000,32.0,0.026502171888359564,30.2074744928315,11.067304312343387
image,YCB-Slide,JPEG2000,35.0,0.03239814263466468,33.01660962417239,12.720552570321164
image,YCB-Slide,JPEG2000,38.0,0.04611196676132891,36.377167466643975,14.452913602671577
image,YCB-Slide,JPEG2000,41.0,0.08289090173445704,39.66761976455278,16.284548041291952
image,YCB-Slide,JPEG2000,44.0,0.20041780223219735,42.70788591545845,18.48295615560197
image,YCB-Slide,JPEG2000,47.0,0.5794188290124588,45.62628479425765,21.99844758703582
image,YCB-Slide,LALIC,1.0,0.04104769759344082,38.05814699223892,15.124933907573288
image,YCB-Slide,LALIC,2.0,0.04520394377244412,39.33551179430378,15.71339527508611
image,YCB-Slide,LALIC,3.0,0.05365999451722242,40.3785375173177,16.30756791307622
image,YCB-Slide,LALIC,4.0,0.07000667977922316,41.472151500970135,16.999729993761452
image,YCB-Slide,LALIC,5.0,0.09432522593532429,42.64961128210883,17.95333928404727
image,YCB-Slide,LALIC,6.0,0.1308974212138146,43.81396330929828,19.038272302114326
image,YCB-Slide,TCM,25.0,0.045,37.7,15.1748
image,YCB-Slide,TCM,35.0,0.054,38.44,15.6264
image,YCB-Slide,TCM,67.0,0.066,40.0,16.3033
image,YCB-Slide,TCM,130.0,0.093,40.82,16.9818
image,YCB-Slide,TCM,250.0,0.12,42.27,17.9134
image,YCB-Slide,TCM,500.0,0.167,43.58,19.1254
image,YCB-Slide,TaCo-L,1.0,0.03943595360433026,39.30845707870052,15.850744241112272
image,YCB-Slide,TaCo-L,2.0,0.043382826342314704,40.585509726828164,16.438860343162226
image,YCB-Slide,TaCo-L,3.0,0.05132680301014283,41.628144713933054,17.03280855914788
image,YCB-Slide,TaCo-L,4.0,0.06712622163544509,42.722454529944024,17.724921383224693
image,YCB-Slide,TaCo-L,5.0,0.09044983286945214,43.89996126902899,18.678275029029123
image,YCB-Slide,TaCo-L,6.0,0.12546771482813698,45.06406890291615,19.7633520449327
image,YCB-Slide,VTM-Intra,27.0,0.2054206936301453,46.43607756210831,21.886162816382868
image,YCB-Slide,VTM-Intra,32.0,0.11751601242823985,44.41100443388301,19.43294153967036
image,YCB-Slide,VTM-Intra,37.0,0.06199090402467322,42.05505748297426,17.131914277872767
image,YCB-Slide,VTM-Intra,42.0,0.04012144825638203,40.17112982385813,15.747203689210286
image,YCB-Slide,VTM-Intra,47.0,0.028753387611457154,38.00963131428606,14.40426602289028
image,YCB-Slide,VTM-Intra,52.0,0.02160758863136677,35.463320599161214,12.864499123831278
image,YCB-Slide,VTM-SCC,22.0,0.38365286620556976,48.38295056782948,24.659503904073375
image,YCB-Slide,VTM-SCC,27.0,0.20851969967631606,46.43911718951008,21.893606116077223
image,YCB-Slide,VTM-SCC,32.0,0.1206493335470868,44.44313904946118,19.46873764289441
image,YCB-Slide,VTM-SCC,37.0,0.0671468486625137,42.153455393127665,17.22058783240653
image,YCB-Slide,VTM-SCC,42.0,0.04309314690973491,40.13353410970399,15.67931280726616
image,YCB-Slide,VTM-SCC,47.0,0.030647711310614355,37.88994703512106,14.240618029711447
