domain,dataset,compressor,quality,bpp,psnr,ms-ssim
video,ObjectFolder1.0,DCVC-DC,0,0.0387281,35.714154045,12.857994489528913
video,ObjectFolder1.0,DCVC-DC,1,0.049499325000000004,36.36539627,13.492229370272666
video,ObjectFolder1.0,DCVC-DC,2,0.06262593500000001,36.949397135,14.085853140163982
video,ObjectFolder1.0,DCVC-DC,3,0.080392305,37.496690915,14.692875618811344
video,ObjectFolder1.0,DCVC-DC,4,0.10218569000000001,38.000252705,15.27301184533192
video,ObjectFolder1.0,DCVC-DC,5,0.13142508,38.48576423,15.862769523780777
video,ObjectFolder1.0,DCVC-FM,0,0.006614759259259259,31.10701160493827,8.068229319256986
video,ObjectFolder1.0,DCVC-FM,1,0.01217391919191919,32.80924723737374,9.334287968570491
video,ObjectFolder1.0,DCVC-FM,2,0.021457785,34.65237797,10.994358051180045
video,ObjectFolder1.0,DCVC-FM,3,0.038817,36.52068788,12.920130541626234
video,ObjectFolder1.0,DCVC-FM,4,0.07071269,38.253732989999996,14.882302776006952
video,ObjectFolder1.0,DCVC-FM,5,0.13953928,39.896288639999995,17.03854793800366
video,ObjectFolder1.0,DCVC-RT,0,0.007968324873096446,31.71175359898477,8.680465343839948
video,ObjectFolder1.0,DCVC-RT,1,0.013217155000000001,33.570319665,10.031160543336377
video,ObjectFolder1.0,DCVC-RT,2,0.021930645000000002,35.26598146,11.566117860096735
video,ObjectFolder1.0,DCVC-RT,3,0.040503185000000004,37.10210041,13.468084524043753
video,ObjectFolder1.0,DCVC-RT,4,0.075174745,38.744172615000004,15.430087911652958
video,ObjectFolder1.0,DCVC-RT,5,0.14952304,40.318577884999996,17.605379914324043
video,ObjectFolder1.0,SVT-AV1,17,0.1674128255208333,40.58157830769572,18.437849716715807
video,ObjectFolder1.0,SVT-AV1,22,0.13113669704861106,39.55800546503584,17.15717128551591
video,ObjectFolder1.0,SVT-AV1,27,0.09494622395833328,38.470873715052306,15.701376415798482
video,ObjectFolder1.0,SVT-AV1,32,0.06636469184027774,37.394056933132504,14.23299017540504
video,ObjectFolder1.0,SVT-AV1,37,0.045327235243055514,36.38754155683014,12.805660998882013
video,ObjectFolder1.0,SVT-AV1,42,0.030729166666666627,35.49139053098327,11.492233683723603
video,ObjectFolder1.0,SVT-AV1,47,0.02049956597222218,34.724112024176904,10.29443363299557
video,ObjectFolder1.0,VVenC,17,0.30708443229166665,44.121381,21.867200278403953
video,ObjectFolder1.0,VVenC,22,0.1673313177083333,40.904389,18.76476106378902
video,ObjectFolder1.0,VVenC,27,0.07516880208333329,37.396506,15.378686231329468
video,ObjectFolder1.0,VVenC,32,0.03052106249999996,34.2544145,12.348149557379557
video,ObjectFolder1.0,VVenC,37,0.01388525520833329,32.088538,10.25858390692359
video,ObjectFolder1.0,VVenC,42,0.006302817708333297,29.928854500000003,8.32447040443594
video,ObjectFolder1.0,VVenC,47,0.004319968749999962,28.5127,7.119836904851439
video,ObjectFolder1.0,x265,17,0.3293678819444444,43.822520000000004,21.308166911450225
video,ObjectFolder1.0,x265,22,0.18049264322916664,40.824905,18.61602205696342
video,ObjectFolder1.0,x265,27,0.09357508680555551,38.03,16.138863252207162
video,ObjectFolder1.0,x265,32,0.04886386718749995,35.37155,13.723126145365377
video,ObjectFolder1.0,x265,37,0.026253710937499963,32.71841,11.205961306180729
video,ObjectFolder1.0,x265,42,0.010811371527777735,30.203415,8.81371366877217
video,ObjectFolder1.0,x265,47,0.003728797743055516,28.191425,6.74657701045215
