domain,dataset,compressor,quality,bpp,psnr,ms-ssim
video,SSVTP,DCVC-DC,0,0.015174,42.09641,17.084091743419993
video,SSVTP,DCVC-DC,1,0.017977,42.804798,17.611513196376624
video,SSVTP,DCVC-DC,2,0.02103,43.53379,18.13523969445941
video,SSVTP,DCVC-DC,3,0.025144,44.168323,18.634062526669204
video,SSVTP,DCVC-DC,4,0.030251,44.721401,19.115449549558345
video,SSVTP,DCVC-DC,5,0.036756,45.303322,19.60387618103274
video,SSVTP,DCVC-FM,0,0.001658,33.882805,11.987815735927237
video,SSVTP,DCVC-FM,1,0.003684,36.950292,13.463148450689827
video,SSVTP,DCVC-FM,2,0.007331,40.133426,15.10210211384007
video,SSVTP,DCVC-FM,3,0.013278,42.754576,16.74381727189971
video,SSVTP,DCVC-FM,4,0.021443,44.52961,18.14033107232157
video,SSVTP,DCVC-FM,5,0.038474,46.15712,19.724057881737743
video,SSVTP,DCVC-RT,0,0.002275,36.007075,12.880410052333282
video,SSVTP,DCVC-RT,1,0.004243,38.197723,14.162233073650716
video,SSVTP,DCVC-RT,2,0.00746,40.673529,15.509383531418584
video,SSVTP,DCVC-RT,3,0.012628,43.022635,16.91948078757339
video,SSVTP,DCVC-RT,4,0.02085,44.77316,18.297382846050414
video,SSVTP,DCVC-RT,5,0.039274,46.429225,20.007389288869007
video,SSVTP,SVT-AV1,17,0.0961545138888888,47.71417211328977,22.176485634169364
video,SSVTP,SVT-AV1,22,0.0686892361111111,47.0388126361656,20.58875476788984
video,SSVTP,SVT-AV1,27,0.0464279513888888,46.211198257080646,19.160473979587167
video,SSVTP,SVT-AV1,32,0.0324262152777777,45.411960784313806,18.1308269257407
video,SSVTP,SVT-AV1,37,0.0231597222222222,44.5742919389978,17.306153709096698
video,SSVTP,SVT-AV1,42,0.0169140625,43.7144880174292,16.637355458438034
video,SSVTP,SVT-AV1,47,0.0127473958333333,42.82172113289763,16.094783149611906
video,SSVTP,VVenC,17,0.42066015625,53.09118736383435,40.03123959293154
video,SSVTP,VVenC,22,0.2111546875,50.37607843137257,29.08163380825454
video,SSVTP,VVenC,27,0.0846416666666666,47.87501089324615,21.96296647750593
video,SSVTP,VVenC,32,0.0370681423611111,45.82355119825702,18.721272986505117
video,SSVTP,VVenC,37,0.0201392361111111,44.00197167755987,17.09097401338805
video,SSVTP,VVenC,42,0.0103815104166666,41.55259259259259,15.81965525306992
video,SSVTP,VVenC,47,0.0065333333333333,39.099106753812606,15.02658722044129
video,SSVTP,x265,17,0.2429079861111111,49.791,29.530978740162613
video,SSVTP,x265,22,0.1161588541666666,47.784,23.1133896731136
video,SSVTP,x265,27,0.0532291666666666,45.979,19.803016835318846
video,SSVTP,x265,32,0.0306814236111111,44.349,18.316678000101696
video,SSVTP,x265,37,0.0202256944444444,42.407,17.278525381351876
video,SSVTP,x265,42,0.0140060763888888,39.759,16.145805523004995
video,SSVTP,x265,47,0.0081206597222222,36.658,14.783328093380202
