domain,dataset,compressor,quality,bpp,psnr,ms-ssim
video,TouchandGo,DCVC-DC,0,0.013752428571428572,38.931249428571434,17.268266876498625
video,TouchandGo,DCVC-DC,1,0.016813214285714286,39.79346014285714,17.906981331839866
video,TouchandGo,DCVC-DC,2,0.02048792857142857,40.60616521428572,18.512437304555508
video,TouchandGo,DCVC-DC,3,0.025381857142857144,41.34597307142857,19.13811776995967
video,TouchandGo,DCVC-DC,4,0.031219500000000004,41.887349785714285,19.717830272349232
video,TouchandGo,DCVC-DC,5,0.03865914285714286,42.43630807142858,20.29838400843639
video,TouchandGo,DCVC-FM,0,0.0025164285714285714,31.30954807142857,11.632141765963079
video,TouchandGo,DCVC-FM,1,0.004936857142857143,34.59223171428572,14.292175778600406
video,TouchandGo,DCVC-FM,2,0.009106357142857142,37.650656000000005,16.32177168174436
video,TouchandGo,DCVC-FM,3,0.016824214285714286,40.61092442857143,18.32852303808363
video,TouchandGo,DCVC-FM,4,0.029053642857142858,42.95388200000001,20.181171394388006
video,TouchandGo,DCVC-FM,5,0.053375,45.07949478571429,22.165467372577194
video,TouchandGo,DCVC-RT,0,0.0028515714285714286,32.241315,12.175926697623751
video,TouchandGo,DCVC-RT,1,0.0056825,35.26516014285714,14.74799524984449
video,TouchandGo,DCVC-RT,2,0.010384214285714287,37.953148428571424,16.678342382053266
video,TouchandGo,DCVC-RT,3,0.018845285714285714,40.56280735714286,18.589721535573613
video,TouchandGo,DCVC-RT,4,0.032277714285714285,42.69412585714286,20.323525841092202
video,TouchandGo,DCVC-RT,5,0.06079721428571429,44.78157921428571,22.2953796565547
video,TouchandGo,SVT-AV1,17,0.514456535218254,46.89979285714286,25.320000975573816
video,TouchandGo,SVT-AV1,22,0.36119698660714283,46.02804285714286,24.16766380509356
video,TouchandGo,SVT-AV1,27,0.24536799355158728,45.1811642857143,23.004260286351506
video,TouchandGo,SVT-AV1,32,0.1680524553571428,44.38527857142857,21.90849128091227
video,TouchandGo,SVT-AV1,37,0.11850353422619042,43.58231428571429,20.876014395227703
video,TouchandGo,SVT-AV1,42,0.08500806051587297,42.79142857142857,19.882934124299826
video,TouchandGo,SVT-AV1,47,0.06295665922619044,42.043214285714285,19.010657341288955
video,TouchandGo,SVT-AV1,49,0.056231398809523776,41.727021428571426,18.666865985705844
video,TouchandGo,SVT-AV1,52,0.047624937996031694,41.22578571428572,18.14571482714514
video,TouchandGo,SVT-AV1,55,0.03997240823412695,40.66873571428572,17.595350271164072
video,TouchandGo,SVT-AV1,58,0.030992063492063442,39.96050714285714,16.86179536723248
video,TouchandGo,TaCo-L,0,0.022977785714285714,38.69169864285714,17.959697186248132
video,TouchandGo,TaCo-L,1,0.03175485714285714,39.9591645,19.29640931665046
video,TouchandGo,TaCo-L,2,0.04670478571428571,41.2747605,20.828041588174752
video,TouchandGo,TaCo-L,3,0.06951771428571428,42.45886878571429,22.341469169277566
video,TouchandGo,VVenC,17,1.6626984375,54.32215742578073,33.09003088351182
video,TouchandGo,VVenC,22,0.8090995535714286,50.995867759303515,29.518347962438234
video,TouchandGo,VVenC,27,0.27181354166666666,47.75973459319322,25.807571489701612
video,TouchandGo,VVenC,32,0.11150684523809519,45.43769974811648,22.9768934451284
video,TouchandGo,VVenC,37,0.05992105654761902,43.48137648631909,20.916689697784143
video,TouchandGo,VVenC,42,0.029029613095238067,40.73380266407031,18.473443825118558
video,TouchandGo,VVenC,47,0.017422991071428535,38.34001736171913,16.60384089311685
video,TouchandGo,x265,17,1.1863324652777778,49.061571428571426,27.582475338903354
video,TouchandGo,x265,22,0.4963172743055555,46.16092857142858,24.319123726309048
video,TouchandGo,x265,27,0.19728732638888885,43.579142857142855,21.421521111128044
video,TouchandGo,x265,32,0.09446428571428567,41.16921428571429,18.974468228605396
video,TouchandGo,x265,37,0.05095021081349204,38.55692857142857,16.6072601866477
video,TouchandGo,x265,42,0.028828435019841215,35.60785714285714,14.089766188029495
video,TouchandGo,x265,47,0.015717075892857094,32.5915,11.582502045532916
