domain,dataset,compressor,quality,bpp,psnr,ms-ssim
video,YCB-Slide,DCVC-DC,0,0.0031235,44.1707005,19.426760802443145
video,YCB-Slide,DCVC-DC,1,0.00371125,44.83369075,19.93117556543632
video,YCB-Slide,DCVC-DC,2,0.00450725,45.457271750000004,20.430948994758584
video,YCB-Slide,DCVC-DC,3,0.00569675,46.0309595,20.899783541200705
video,YCB-Slide,DCVC-DC,4,0.007780499999999999,46.55367325,21.360943841388174
video,YCB-Slide,DCVC-DC,5,0.01031175,46.9158925,21.65061936227487
video,YCB-Slide,DCVC-FM,0,0.0012775,37.761542000000006,14.404412887492402
video,YCB-Slide,DCVC-FM,1,0.001412,40.5000815,16.372211320106963
video,YCB-Slide,DCVC-FM,2,0.0017265,43.00625375,18.279201629120912
video,YCB-Slide,DCVC-FM,3,0.00244725,45.223145,20.02163555849764
video,YCB-Slide,DCVC-FM,4,0.004084,46.73376175,21.303417555211794
video,YCB-Slide,DCVC-FM,5,0.009025,47.8319665,22.312260192330974
video,YCB-Slide,DCVC-RT,0,0.00099225,39.32609575,15.62656652577421
video,YCB-Slide,DCVC-RT,1,0.0013189999999999999,42.63587225,17.903956073369947
video,YCB-Slide,DCVC-RT,2,0.00182525,44.7501495,19.558101339051678
video,YCB-Slide,DCVC-RT,3,0.0029825,46.39053775,20.92422023889162
video,YCB-Slide,DCVC-RT,4,0.00532275,47.38702975,21.85212950599579
video,YCB-Slide,DCVC-RT,5,0.0121195,48.207874000000004,22.670940244595176
video,YCB-Slide,SVT-AV1,17,0.0961545138888888,48.22749240434488,21.523985268450996
video,YCB-Slide,SVT-AV1,22,0.0686892361111111,47.892544825827954,22.896174536387274
video,YCB-Slide,SVT-AV1,27,0.0464279513888888,46.81430936346179,20.42053009131668
video,YCB-Slide,SVT-AV1,32,0.0324262152777777,47.93999723327957,21.696326003837733
video,YCB-Slide,SVT-AV1,37,0.0231597222222222,47.70330373805992,21.654057537577085
video,YCB-Slide,SVT-AV1,42,0.0169140625,47.2619175470048,21.453267433323823
video,YCB-Slide,SVT-AV1,47,0.0127473958333333,47.02892099160396,21.26459735490046
video,YCB-Slide,SVT-AV1,52,0.0088411458333333,46.69175395265965,21.06249956589957
video,YCB-Slide,VVenC,22,0.30398171657986106,53.131045881328546,26.188335396699916
video,YCB-Slide,VVenC,27,0.07382928602430552,49.61295109558438,23.00780891090426
video,YCB-Slide,VVenC,32,0.013952170138888824,48.01706363510437,21.95952781276761
video,YCB-Slide,VVenC,37,0.007164127604166625,47.28186512036343,21.61226081318387
video,YCB-Slide,VVenC,42,0.004661686197916625,46.11920880469901,21.066971257291478
video,YCB-Slide,VVenC,47,0.0041995442708333,44.94583650501718,20.508526222477663
video,YCB-Slide,x265,22,0.03568359374999995,47.74375,21.4691139228181
video,YCB-Slide,x265,27,0.009193793402777725,46.43325,20.962369704426663
video,YCB-Slide,x265,32,0.0049989149305555,44.885,20.29326263479874
video,YCB-Slide,x265,37,0.0037944878472222,42.802,19.456033901000936
video,YCB-Slide,x265,42,0.0031358506944444,40.30825,18.461766973145107
video,YCB-Slide,x265,47,0.002748480902777725,37.52725,17.446830999310897
